,Date (yyyy-mm-dd),Max_temperature (°C),Min_temperature (°C),Rain (mm),Wind (km/h),Description,City
count,2158,2158.0,2158.0,2158.0,2158.0,2158,2158
unique,2158,,,,,17,1
top,2019-12-31,,,,,Ligeras precipitaciones,Medellín
freq,1,,,,,675,2158
mean,,22.478220574606116,10.894346617238183,13.94620018535681,4.209916589434662,,
std,,2.8412221872617183,1.8847054210709768,13.743674801601099,1.5529456337533674,,
min,,15.0,5.0,0.0,1.0,,
25%,,21.0,10.0,3.6,3.0,,
50%,,22.0,11.0,9.3,4.0,,
75%,,24.0,12.0,20.7,5.0,,
max,,32.0,17.0,107.7,11.0,,
